id,Title,Authors Names,Source Type,Work Type,Publication Date,Affiliation,Quartile
85073099391,A MEG study of different motor imagery modes in untrained subjects for BCI applications,"Jack Oscar,
Robbin White,
Bruce Jordan,
Stephen Black,
Daniel White,
Stephen Lee,
Bruce Johns",Conference Proceeding,Conference Paper,2019-01-01,"Universidad Politécnica de Madrid, Innopolis University",1
85083958029,A Machine to Machine Framework for the Charging of Electric Autonomous Vehicles,"Jack Oscar,
Robbin Johns,
Laura Oscar,
Laura Castle,
Bruce Oscar,
Stephen Oscar,
Michael Black,
Bruce Jordan,
Jack Oscar,
Daniel Johns",Book Series,Conference Paper,2020-01-01,Innopolis University,1
85123321062,A Meta-analytical Comparison of Energy Consumed by Two Different Programming Languages,"Bruce Jordan,
Michael Jordan,
Stephen Jordan,
Laura Johns,
Jack Lee",Book Series,Conference Paper,2021-01-01,Innopolis University,4
85128739255,A NLP Framework to Generate Video from Positive Comments in Youtube,"Michael Oscar,
Michael Castle",Book Series,Conference Paper,2022-01-01,Innopolis University,4
85115862686,A New Approach to Modelling and Verification of Functional Programs,Bruce Black,Book Series,Conference Paper,2021-01-01,Innopolis University,4
85082036643,A New Block-Based Reinforcement Learning Approach for Distributed Resource Allocation in Clustered IoT Networks,"Bruce Lee,
Robbin Oscar,
Robbin Jordan,
Daniel Lee",Journal,Article,2020-03-01,"University of Avigon, Ryerson University, Royal Bank of Canada, Innopolis University",1
85060791854,A New Machine Learning-based Collaborative DDoS Mitigation Mechanism in Software-Defined Network,"Stephen Oscar,
Michael Jordan,
Michael Johns,
Daniel Jordan,
Stephen Lee,
Michael Lee,
Laura Jordan,
Daniel Jordan,
Daniel White",Conference Proceeding,Conference Paper,2018-12-26,"Fordham University, Ryerson University, University of Gharadaia, Innopolis University, United Arab Emirates University",1
84981501511,A New Privacy Aware Payment Scheme for Wireless Charging of Electric Vehicles,"Robbin Lee,
Laura Lee,
Bruce Castle,
Robbin Johns",Journal,Article,2017-02-01,"Hanyang University ERICA Campus, Korea University of Technology and Education, Innopolis University",2
84964562812,A New Privacy-Aware Mutual Authentication Mechanism for Charging-on-the-Move in Online Electric Vehicles,"Stephen Castle,
Jack Jordan,
Bruce Johns,
Bruce White,
Laura Oscar,
Stephen White",Conference Proceeding,Conference Paper,2016-02-26,"Universidade Federal do Parana, North Carolina Central University, Hanyang University ERICA Campus, Innopolis University",1
85107177887,A Novel Contract Theory-Based Incentive Mechanism for Cooperative Task-Offloading in Electrical Vehicular Networks,"Michael Lee,
Stephen Jordan,
Laura Castle,
Laura Castle,
Daniel Johns,
Laura Johns,
Daniel Lee,
Stephen White",Journal,Article,2021-01-01,"Kyung Hee University, Khalifa University of Science and Technology, Innopolis University, University of the West of England",1
85127229490,A Novel Deep Reinforcement Learning-based Approach for Task-offloading in Vehicular Networks,"Michael Lee,
Laura Oscar,
Daniel White,
Jack Lee",Conference Proceeding,Conference Paper,2021-01-01,"Zayed University, University of Ottawa, Innopolis University",1
85078763033,A PLS-SEM Neural Network Approach for Understanding Cryptocurrency Adoption,"Laura Black,
Robbin Jordan,
Laura Jordan,
Stephen Jordan,
Michael White",Journal,Article,2020-01-01,"National Textile University Faisalabad, University of Technology Sydney, Innopolis University, Khwaja Fareed University of Engineering &amp; Information Technology",2
85066605240,"A Parabolic Chaplygin Pendulum and a Paul Trap: Nonintegrability, Stability, and Boundedness","Stephen Johns,
Bruce Black,
Jack Castle",Journal,Article,2019-05-01,"Moscow Institute of Physics and Technology, Innopolis University, N.N. Krasovskii Institute of Mathematics and Mechanics of the Ural Branch of the Russian Academy of Sciences, Mechanical Engineering Research Institute, Russian Academy of Sciences, Udmurt State University",1
85101823212,A ROS-based swing up control and stabilization of the Pendubot using virtual holonomic constraints,"Stephen Lee,
Bruce Johns,
Laura Black",Conference Proceeding,Conference Paper,2020-12-03,Innopolis University,1
85119449631,A Review on the Contribution of ClassDojo as Point System Gamification in Education,"Daniel Lee,
Michael Castle",Book Series,Conference Paper,2021-01-01,Innopolis University,4
85113696077,A Simple Physical Model for Control of a Propellerless Aquatic Robot,"Laura Jordan,
Daniel Castle,
Michael Jordan,
Michael White,
Stephen Castle",Journal,Article,2022-02-01,"Kalashnikov Izhevsk State Technical University, Udmurt State University, Innopolis University",1
85048554817,A Social-Aware Virtual MAC Protocol for Energy-Efficient D2D Communications Underlying Heterogeneous Cellular Networks,"Jack Jordan,
Laura Oscar,
Robbin White,
Bruce Johns",Journal,Article,2018-09-01,"Innopolis University, Guangdong University of Technology, Beijing University of Technology, Beijing University of Posts and Telecommunications",1
85123273151,A Study: Design Patterns Detection Approaches and Impact on Software Quality,"Jack Lee,
Bruce Jordan",Book Series,Conference Paper,2021-01-01,Innopolis University,4
85099055402,A Survey of Blockchain Solutions for Autonomous Vehicles Ecosystems,"Jack Black,
Laura Oscar,
Bruce Johns,
Jack Oscar",Conference Proceeding,Conference Paper,2020-12-28,Innopolis University,4
85083981182,A Survey of Blockchain-Based Solutions for Energy Industry,"Bruce Oscar,
Daniel Johns,
Jack White,
Laura Oscar",Book Series,Conference Paper,2020-01-01,Innopolis University,1
85064155818,A Survey on Code Analysis Tools for Software Maintenance Prediction,"Michael Black,
Laura White,
Daniel Lee",Book Series,Conference Paper,2018-01-01,"Tampere University, Innopolis University",1
85106422731,A Survey on Data Science Techniques for Predicting Software Defects,"Michael Oscar,
Stephen Black,
Michael Castle,
Laura Oscar,
Jack Black,
Laura White",Book Series,Conference Paper,2021-01-01,Innopolis University,4
85092668318,A Survey on the Effects of Working Conditions on Programming Efficiency in an Educational Environment,"Laura Oscar,
Bruce Oscar,
Robbin Oscar,
Jack Black,
Daniel Jordan,
Daniel Johns,
Laura White",Book Series,Conference Paper,2020-01-01,Innopolis University,4
85103259893,A Systematic Literature Review of Studies Related to Mental Activities of Software Developers,"Michael Castle,
Robbin Black,
Bruce Lee",Conference Proceeding,Conference Paper,2020-12-03,"Philips Research, Innopolis University",1
85064182093,A Tool-Supported Approach for Building the Architecture and Roadmap in MegaM@Rt2 Project,"Laura Oscar,
Laura Johns,
Michael Oscar,
Robbin Jordan,
Laura Jordan,
Laura Black,
Daniel Oscar,
Laura Oscar,
Laura White",Book Series,Conference Paper,2020-01-01,"Universitat Oberta de Catalunya, Innopolis University, Mälardalens högskola, Laboratoire des Sciences du Numérique de Nantes, Intecs S.p.A., Åbo Akademi University, Institució Catalana de Recerca i Estudis Avançats, SOFTEAM, ATOS Spain SA",1
85077960511,A Trust Management Framework for Software Defined Networks-based Internet of Things,"Jack Black,
Robbin White,
Daniel Oscar,
Daniel Black,
Daniel Jordan,
Stephen Johns,
Daniel Jordan,
Daniel Oscar",Conference Proceeding,Conference Paper,2019-10-01,"Ryerson University, Royal Bank of Canada, The Australian National University, Innopolis University",1
85114680412,A bi-level mathematical model for logistic management considering the evolutionary game with environmental feedbacks,"Jack Castle,
Michael Castle,
Robbin Lee,
Michael Jordan",Journal,Article,2021-01-01,"Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence, Islamic Azad University, South Tehran Branch, Innopolis University, California State University, Bakersfield",1
85092026142,A biased random-key genetic algorithm using dotted board model for solving two-dimensional irregular strip packing problems,"Bruce Lee,
Stephen Lee,
Bruce Black,
Stephen Johns,
Bruce Johns",Conference Proceeding,Conference Paper,2020-07-01,"Universidade de Fortaleza, Universidade Federal do Ceará, Innopolis University",1
85055868739,A business model template for ai solutions,"Bruce Johns,
Robbin Black,
Daniel Lee,
Bruce Johns",Conference Proceeding,Conference Paper,2018-06-30,"IPERF Institute Otto-Suhr-Allee 18/20, Graduate School of Management, St. Petersburg State University, Fraunhofer IAO and Innopolis University",4
85123593262,A case study comparing static analysis tools for evaluating SwiftUI projects,"Bruce Oscar,
Daniel Black,
Stephen White,
Robbin Black,
Robbin Castle,
Jack Johns",Conference Proceeding,Conference Paper,2021-12-20,Innopolis University,4
84957848473,A cognitive architecture for the implementation of emotions in computing systems,"Robbin Jordan,
Daniel White,
Michael Castle,
Daniel Black,
Daniel Johns,
Michael White",Journal,Article,2016-01-01,"Kazan Federal University, Universitat Autònoma de Barcelona, Università degli Studi di Messina, Innopolis University",1
84997047861,A comparison of machine learning algorithms efficiency for hard disk drive failure detection,"Robbin Castle,
Bruce Jordan",Journal,Article,2016-12-01,Innopolis University,1
85118503151,A comprehensive survey on clustering in vehicular networks: Current solutions and future challenges,"Daniel Castle,
Laura Lee,
Jack Lee,
Daniel Black,
Laura Lee",Journal,Short Survey,2022-01-01,"University of Science and Technology Beijing, University of Technology Sydney, Beijing Institute of Technology, Innopolis University",1
85122038269,A cooperative game theory approach for location-routing-inventory decisions in humanitarian relief chain incorporating stochastic planning,"Stephen White,
Bruce Castle,
Laura Johns,
Stephen White",Journal,Article,2022-04-01,"Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence, German University of Technology in Oman, Innopolis University, Universidad de Sevilla",1
85030169360,A correlation study between automated program repair and test-suite metrics,"Laura White,
Jack Castle,
Laura Oscar,
Michael Castle,
Daniel Black",Journal,Article,2018-10-01,"National University of Singapore, Innopolis University",1
85124695518,A deep learning based robot positioning error compensation,"Michael Johns,
Stephen Johns",Conference Proceeding,Conference Paper,2021-01-01,Innopolis University,1
85130228618,A deep learning framework for vertebral morphometry and Cobb angle measurement with external validation,"Stephen White,
Robbin Black,
Jack Black,
Daniel Johns,
Jack Jordan,
Michael White",Journal,Article,2022-01-01,"Univerza v Ljubljani, Københavns Universitet, Kazan Public Hospital, Barsmed Diagnostic Center, Innopolis University",1
85123538675,A depth camera-based system to enable touch-less interaction using hand gestures,"Robbin Black,
Robbin Black,
Michael Black,
Jack Lee,
Stephen Black,
Stephen Lee",Conference Proceeding,Conference Paper,2021-01-01,"Queen's University Belfast, Waseda University, Innopolis University",1
85053346976,A distributed time-limited multicast algorithm for VANETs using incremental power strategy,"Jack Johns,
Laura Lee,
Bruce Castle,
Michael Johns,
Stephen Lee,
Robbin Johns",Journal,Article,2018-11-09,"Université de Ghardaia, Université Amar Telidji Laghouat, Université d'Avignon et des Pays du Vaucluse, Innopolis University",1
85030782216,A feasibility study of using automated program repair for introductory programming assignments,"Jack Lee,
Stephen Oscar,
Jack Jordan,
Bruce Black,
Bruce Castle",Conference Proceeding,Conference Paper,2017-08-21,"Indian Institute of Technology Kanpur, National University of Singapore, Innopolis University",1
85082437085,A focused conversational model for game design and play-tests,Michael Johns,Book Series,Conference Paper,2019-01-01,Innopolis University,4
85070773768,A globally convergent direct adaptive pole-placement controller for nonminimum phase systems with relaxed excitation assumptions,"Jack Lee,
Jack Black,
Jack Black,
Laura Lee,
Bruce White",Journal,Article,2019-10-01,"Innopolis University, Hangzhou Dianzi University, SUPELEC Campus de Gif, Institute of Problems of Mechanical Engineering of the Russian Academy of Sciences, Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO",2
85105025571,A globally convergent state observer for multimachine power systems with lossy lines,"Michael Jordan,
Jack Johns,
Robbin Oscar,
Daniel Johns",Conference Proceeding,Conference Paper,2020-01-01,"Innopolis University, Brandenburgische Technische Universität Cottbus, Laboratoire des Signaux et Systèmes, Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO",3
85021831563,A guided tour of the legal implications of software cloning,"Daniel Black,
Michael Castle,
Jack Oscar,
Stephen White",Conference Proceeding,Conference Paper,2016-05-14,"Center for Applied Software Engineering and CINI, Alma Mater Studiorum Università di Bologna, Innopolis University",2
84978870876,A hybrid trust management framework for vehicular social networks,"Jack Lee,
Michael Oscar,
Stephen Lee,
Daniel Castle,
Bruce Johns",Book Series,Conference Paper,2016-01-01,"North Carolina Central University, Soonchunhyang University, Innopolis University",4
85061100837,A lean and devops approach to teach lean software development,"Stephen Lee,
Michael Black,
Robbin Johns,
Daniel Oscar,
Bruce Johns",Book Series,Conference Paper,2019-01-01,Innopolis University,4
85082649524,A lightweight deep autoencoder-based approach for unsupervised anomaly detection,"Jack Lee,
Laura Johns,
Daniel Johns",Conference Proceeding,Conference Paper,2019-11-01,Innopolis University,1
85105003287,A method for assessment of text complexity based on knowledge graphs,"Robbin Lee,
Stephen Jordan",Conference Proceeding,Conference Paper,2020-01-01,"Kazan Federal University, Innopolis University",4
84988346594,A model for predicting bug fixes in open source operating systems: An empirical study,"Jack Black,
Bruce Castle",Conference Proceeding,Conference Paper,2016-01-01,"Alma Mater Studiorum Università di Bologna, Innopolis University",1
85124321284,A model-based approach to detection of the circulating melanoma cells from the photoacoustic cytometry data,"Stephen Black,
Stephen Johns,
Michael Oscar,
Bruce White,
Robbin Jordan,
Michael Black,
Daniel Johns,
Robbin Johns,
Daniel Oscar",Journal,Article,2021-12-01,"Saratov State University, University of Arkansas for Medical Sciences, Innopolis University, Saratov State Medical University named after V. I. Razumovsky, Kotel'nikov Institute of Radio Engineering and Electronics of Russian Academy of Sciences, Saratov Branch",3
85107624642,A model-based fault-detection strategy in DC/AC conversion,"Bruce Johns,
Jack Black,
Bruce Oscar,
Daniel White,
Bruce Oscar",Conference Proceeding,Conference Paper,2020-01-01,"Innopolis University, Universidad Autonoma de San Luis Potosi, Instituto Tecnologico Autonoma de Mexico, Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO",3
84978832838,A multi-user perspective for personalized email communities,"Jack Johns,
Michael Johns,
Robbin Black",Journal,Article,2016-07-15,"Kyung Hee University, Innopolis University",1
85102255844,A neurohybrid memristive system for adaptive stimulation of hippocampus,"Daniel Lee,
Laura Castle,
Bruce White,
Michael Oscar,
Michael White,
Michael Black,
Bruce White,
Robbin Oscar,
Robbin Oscar,
Robbin Castle,
Daniel White",Journal,Article,2021-05-01,"Innopolis University, Universidad Politécnica de Madrid, Immanuel Kant Baltic Federal University, Lobachevsky State University of Nizhni Novgorod",1
85050563298,A new architecture and implementation strategy for non-invasive software measurement systems,"Robbin Castle,
Jack Black,
Robbin Oscar,
Bruce Oscar,
Daniel Castle,
Jack Johns,
Daniel Oscar,
Michael Oscar,
Stephen Jordan,
Daniel Oscar",Conference Proceeding,Conference Paper,2018-04-09,Innopolis University,3
85021729251,A new comprehensive RSU installation strategy for cost-efficient VANET deployment,"Bruce Castle,
Michael Jordan,
Michael White,
Daniel Johns,
Michael Johns,
Michael Lee",Journal,Review,2017-05-01,"Kennesaw State University, Innopolis University, North Carolina Central University, Kongju National University, Xi'an Jiaotong University",1
85023647821,"A new measure of vector dependence, with applications to financial risk and contagion","Daniel Johns,
Daniel Lee",Journal,Article,2017-06-01,"Saint Petersburg State University, The University of Sydney, Brock University, Innopolis University",2
85125102064,A new modified social engineering optimizer algorithm for engineering applications,"Laura White,
Michael Castle,
Laura Johns,
Bruce White",Journal,Article,2022-05-01,"Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence, German University of Technology in Oman, Bristol Business School, Innopolis University",2
85002601593,A new outsourcing conditional proxy re-encryption suitable for mobile cloud environment,"Michael Black,
Michael Johns,
Daniel White,
Michael Johns,
Michael Black",Journal,Conference Paper,2017-07-25,"Hanyang University ERICA Campus, Fordham University, Kennesaw State University, Innopolis University",2
85065636506,A novel approach for collecting and sharing software metrics data,"Bruce Castle,
Bruce White",Conference Proceeding,Conference Paper,2019-01-01,Innopolis University,3
85073167593,A novel congestion-aware interest flooding attacks detection mechanism in named data networking,"Laura Oscar,
Michael White,
Michael White,
Bruce Castle,
Laura White,
Robbin Jordan,
Laura Jordan,
Laura Johns",Conference Proceeding,Conference Paper,2019-07-01,"University of Derby, Innopolis University, Université de Ghardaia, Université Amar Telidji Laghouat, United Arab Emirates University",1
84992390296,A novel maximum entropy markov model for human facial expression recognition,"Stephen Castle,
Stephen White,
Bruce Oscar,
Bruce Johns,
Stephen Johns",Journal,Article,2016-09-01,"Kyung Hee University, Sungkyunkwan University, Innopolis University",1
85124461674,A novel threshold score based multiclass segmentation technique for brain magnetic resonance images using adaptive opposition slime mold algorithm,"Daniel Castle,
Laura Lee,
Jack Johns,
Robbin Oscar",Journal,Article,2022-01-01,"Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence, VSS University of Technology, Innopolis University, Siksha O Anusandhan (Deemed to be University), Ajay Binay Institute of Technology",3
85070910045,A reference architecture for smart and software-defined buildings,"Laura Black,
Michael Oscar,
Robbin Johns,
Michael Oscar,
Jack Johns,
Bruce Jordan",Conference Proceeding,Conference Paper,2019-06-01,"Khwaja Fareed University of Engineering &amp; Information Technology, Indian Institute of Technology Delhi, Innopolis University, National University of Science &amp; Technology (MISIS), Università degli Studi di Messina",1
85120943585,A reference architecture for social robots,"Bruce Jordan,
Laura White,
Stephen White,
Robbin Lee,
Stephen Castle",Journal,Article,2022-04-01,"Istituto Di Scienze E Tecnologie Della Cognizione, Rome, Alma Mater Studiorum Università di Bologna, Innopolis University",1
84938923871,A reliable and secure hybrid key management scheme for WSNs,"Jack White,
Daniel Castle,
Daniel Black",Journal,Article,2015-01-01,"Islamic University of Madina, Ajou University, Innopolis University",3
85089723353,A review of the structure of a course on advanced statistics for data scientists,"Jack Castle,
Laura White,
Bruce Johns",Book Series,Conference Paper,2020-01-01,Innopolis University,4
85044461647,A secure enhanced privacy-preserving key agreement protocol for wireless mobile networks,"Michael Jordan,
Bruce Jordan,
Jack Jordan,
Bruce White,
Daniel Castle",Journal,Article,2018-12-01,"International Institute of Information Technology, Hyderabad, Innopolis University, Indian Institute of Information Technology, Sri City, University of Kentucky, Wuhan University",2
84964903900,A semantic account of strong normalization in linear logic,"Daniel Jordan,
Bruce Jordan",Journal,Article,2016-06-01,"Università degli Studi Roma Tre, Innopolis University",3
85089718202,A study of cooperative thinking,"Laura White,
Robbin White,
Daniel Jordan",Book Series,Conference Paper,2020-01-01,"Aalborg University, Alma Mater Studiorum Università di Bologna, Innopolis University",4
85116656227,A sustainable-resilience healthcare network for handling COVID-19 pandemic,"Robbin Lee,
Jack Jordan,
Jack Johns,
Robbin Oscar,
Laura Jordan",Journal,Article,2021-01-01,"Penn State Harrisburg, Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence, University of Tehran, Innopolis University, Islamic Azad University, South Tehran Branch",1
85076316257,A taxonomy for achievements in digital games,"Stephen Jordan,
Robbin Castle",Conference Proceeding,Conference Paper,2019-01-01,Innopolis University,1
84951132701,A timed semantics of workflows,"Robbin Castle,
Daniel Oscar,
Michael Lee,
Jack Castle",Book Series,Conference Paper,2015-01-01,"Kazan Federal University, Politecnico di Milano, Istituto di Scienza e Tecnologie dell'Informazione A. Faedo, Innopolis University",4
85025456140,A tool for visualizing the execution of programs and stack traces especially suited for novice programmers,"Laura Lee,
Robbin Jordan,
Laura Johns,
Michael Lee,
Jack Black,
Bruce White,
Jack Castle",Conference Proceeding,Conference Paper,2017-01-01,Innopolis University,1
85052106095,A trusted lightweight communication strategy for flying named data networking,"Daniel Oscar,
Bruce Castle,
Stephen Jordan,
Bruce Castle,
Michael White,
Jack Johns",Journal,Article,2018-08-15,"Daegu Gyeongbuk Institute of Science and Technology, Université de Ghardaia, Innopolis University, Université Amar Telidji Laghouat, United Arab Emirates University",2
85126143343,AI for next generation computing: Emerging trends and future directions,"Daniel Castle,
Daniel Johns,
Stephen Oscar,
Jack White,
Daniel Jordan,
Laura Jordan,
Laura Johns,
Stephen Oscar,
Daniel White,
Bruce Lee,
Daniel Lee,
Laura Lee,
Michael Jordan,
Stephen Black,
Jack Castle,
Laura Oscar,
Daniel Lee,
Daniel White,
Stephen Jordan,
Laura Black,
Daniel Castle,
Bruce Lee",Journal,Review,2022-08-01,"Tianjin University, The University of Waikato, Innopolis University, Cardiff University, University of Sharjah, RMIT University, The University of Texas at Austin, Indian Institute of Tropical Meteorology, Department of Engineering, University of Birmingham, Queen Mary University of London, University of York, Jackson School of Geosciences, Technische Universität Wien, Univerza v Ljubljani, Indian Institute of Technology Kharagpur, Dell Technologies, Shenzhen Institute of Advanced Technology, Machine Intelligence Research Labs (MIR Labs) - Scientific Network for Innovation and Research Excellence, Vienna University of Technology, Distributed Systems Group, UNSW Sydney, Western University, The University of Manchester",1
85123407254,API Security in Large Enterprises: Leveraging Machine Learning for Anomaly Detection,"Laura White,
Jack Jordan,
Michael Johns,
Bruce White,
Robbin White",Conference Proceeding,Conference Paper,2021-01-01,"University of Bristol, Royal Bank of Canada, Innopolis University",1
85078193289,About Controlling the Shape of the Sprinkler,"Daniel White,
Stephen Castle,
Daniel White,
Bruce Black",Book Series,Book Chapter,2020-01-01,"Volgograd State Technical University, Innopolis University",4
85082720987,About features of management of mobile robots with stepping movers of a rope type in a water environment,"Jack Johns,
Jack Oscar,
Stephen Jordan,
Robbin Lee",Conference Proceeding,Conference Paper,2020-03-16,"Volgograd State Technical University, Innopolis University",4
85115239747,About the Distribution of Traction Efforts Between the Propulsion Devices of Walking Robots,"Jack Oscar,
Stephen Castle,
Stephen Black",Book Series,Conference Paper,2022-01-01,"Volgograd State Technical University, Innopolis University",4
85075691463,Above the Clouds: A Brief Study,"Jack Castle,
Jack Jordan",Book Series,Conference Paper,2019-01-01,Innopolis University,4
85090169509,Abstraction-Based Outlier Detection for Image Data,"Daniel White,
Jack White,
Robbin Castle,
Michael Lee",Book Series,Conference Paper,2021-01-01,"Zayed University, Innopolis University",1
85119578848,Abusive language recognition in Russian,"Michael Oscar,
Stephen Castle",Conference Proceeding,Conference Paper,2021-01-01,"IT-Universitetet i København, Innopolis University",1
85088684956,Academic advising systems: A systematic literature review of empirical evidence,"Michael Castle,
Bruce Jordan,
Bruce White",Journal,Review,2017-12-01,"Innopolis University, University of Applied Sciences of Thessaly, Hellenic Open University",3
85108068061,Access Control Mechanisms in Named Data Networks,"Michael White,
Bruce Johns,
Stephen White,
Stephen Black,
Daniel Jordan",Journal,Review,2021-06-01,"Université de Paris, Beijing Institute of Technology, University of Nebraska Omaha, Innopolis University",1
85065464687,Accident Recognition via 3D CNNs for Automated Traffic Monitoring in Smart Cities,"Bruce Jordan,
Daniel Johns,
Laura White,
Bruce Jordan",Book Series,Conference Paper,2020-01-01,"Zayed University, Innopolis University",1
84875791139,"Accumulation of the parkin substrate, FAF1, plays a key role in the dopaminergic neurodegeneration","Bruce Oscar,
Bruce White,
Daniel Black,
Jack Jordan,
Robbin Lee,
Bruce Black,
Jack Lee,
Robbin Lee,
Michael Castle",Journal,Article,2013-04-01,"Chungnam National University, Seoul National University, Korea Research Institute of Bioscience and Biotechnology",1
85103305286,Accuracy Analysis of a Ground Reaction Predictor-based Feedforward Control,Jack Jordan,Conference Proceeding,Conference Paper,2020-12-03,Innopolis University,1
85081725528,Accurate dynamic modeling of twisted string actuators accounting for string compliance and friction,"Robbin White,
Michael Jordan,
Stephen Black",Journal,Article,2020-04-01,"Korea Advanced Institute of Science and Technology, Innopolis University",1
85073230158,Across-Sensor Feature Learning for Energy-Efficient Activity Recognition on Mobile Devices,"Jack Johns,
Daniel Oscar",Conference Proceeding,Conference Paper,2019-07-01,Innopolis University,3
85071588617,Active damping of a DC network with a constant power load: An adaptive observer-based design,"Bruce Lee,
Laura Black,
Robbin Black,
Jack Johns,
Daniel Oscar,
Michael White,
Robbin Jordan",Conference Proceeding,Conference Paper,2019-06-01,"Laboratoire des Signaux et Systèmes, Universitat Politècnica de Catalunya, Università degli Studi di Roma ""Tor Vergata"", Innopolis University, Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO",1
